municipality,primary_county,population_est_2022,median_income,latitude,longitude,coordinates,east_west,municipality_profile
Brookside Village,Brazoria,1573,82165,29.5868996,-95.3252152,"[29.5868996, -95.3252152]",east,https://directory.tml.org/profile/city/1435
Cottonwood Shores,Burnet,1557,72510,30.5557453,-98.3239126,"[30.5557453, -98.3239126]",east,https://directory.tml.org/profile/city/585
Hughes Springs,Cass,1549,42896,32.998462,-94.6307585,"[32.998462, -94.6307585]",east,https://directory.tml.org/profile/city/966
Three Rivers,Live Oak,1545,52910,28.4602717,-98.1825071,"[28.4602717, -98.1825071]",east,https://directory.tml.org/profile/city/720
Shoreacres,Harris,1524,63539,29.6202287,-95.009928,"[29.6202287, -95.009928]",east,https://directory.tml.org/profile/city/660
De Kalb,Bowie,1485,52934,33.5087256,-94.616319,"[33.5087256, -94.616319]",east,https://directory.tml.org/profile/city/1235
Quinlan,Hunt,1478,58326,32.9103474,-96.1344371,"[32.9103474, -96.1344371]",east,https://directory.tml.org/profile/city/789
Woodbranch,Montgomery,1476,87831,30.1810485,-95.1888218,"[30.1810485, -95.1888218]",east,https://directory.tml.org/profile/city/569
Grapeland,Houston,1475,45603,31.4936922,-95.4789863,"[31.4936922, -95.4789863]",east,https://directory.tml.org/profile/city/1129
Kerens,Navarro,1474,51015,32.1332079,-96.2277529,"[32.1332079, -96.2277529]",east,https://directory.tml.org/profile/city/411
Stockdale,Wilson,1467,78794,29.2369085,-97.9600035,"[29.2369085, -97.9600035]",east,https://directory.tml.org/profile/city/687
Bruceville-Eddy,McLennan,1450,58524,31.3169281,-97.2431361,"[31.3169281, -97.2431361]",east,https://directory.tml.org/profile/city/1726
Seven Points,Henderson,1432,50348,32.3204226,-96.2130315,"[32.3204226, -96.2130315]",east,https://directory.tml.org/profile/city/651
Rollingwood,Travis,1428,84519,30.2768742,-97.7911175,"[30.2768742, -97.7911175]",east,https://directory.tml.org/profile/city/821
Blossom,Lamar,1422,50787,33.6614962,-95.3857864,"[33.6614962, -95.3857864]",east,https://directory.tml.org/profile/city/1339
Plum Grove,Liberty,1422,57174,30.2146577,-95.0949311,"[30.2146577, -95.0949311]",east,https://directory.tml.org/profile/city/1774
Wolfe City,Hunt,1421,58326,33.3706695,-96.0687562,"[33.3706695, -96.0687562]",east,https://directory.tml.org/profile/city/568
Hubbard,Hill,1420,52495,31.8484935,-96.797215,"[31.8484935, -96.797215]",east,https://directory.tml.org/profile/city/963
Meridian,Bosque,1415,56041,31.9232085,-97.6566894,"[31.9232085, -97.6566894]",east,https://directory.tml.org/profile/city/884
Naples,Morris,1404,44957,33.2031774,-94.6802055,"[33.2031774, -94.6802055]",east,https://directory.tml.org/profile/city/916
Lone Star,Morris,1401,44957,32.9440186,-94.7071506,"[32.9440186, -94.7071506]",east,https://directory.tml.org/profile/city/425
Queen City,Cass,1394,42896,33.1487411,-94.150187,"[33.1487411, -94.150187]",east,https://directory.tml.org/profile/city/788
Ivanhoe,Tyler,1377,46955,30.6803065,-94.4148912,"[30.6803065, -94.4148912]",east,https://directory.tml.org/profile/city/47876
Palm Valley,Cameron,1376,46436,26.2017415,-97.7541602,"[26.2017415, -97.7541602]",east,https://directory.tml.org/profile/city/1572
Somerville,Burleson,1364,57469,30.3460432,-96.5283022,"[30.3460432, -96.5283022]",east,https://directory.tml.org/profile/city/669
Tatum,Rusk,1364,53186,32.3159894,-94.5165913,"[32.3159894, -94.5165913]",east,https://directory.tml.org/profile/city/702
Hawkins,Wood,1351,53485,32.5884735,-95.2041135,"[32.5884735, -95.2041135]",east,https://directory.tml.org/profile/city/1150
Emory,Rains,1344,57294,32.874566,-95.7655183,"[32.874566, -95.7655183]",east,https://directory.tml.org/profile/city/1278
Thorndale,Milam,1344,53320,30.6138101,-97.2055482,"[30.6138101, -97.2055482]",east,https://directory.tml.org/profile/city/717
Wallis,Austin,1341,68150,29.6313486,-96.0652362,"[29.6313486, -96.0652362]",east,https://directory.tml.org/profile/city/534
Nevada,Collin,1324,102119,33.0423409,-96.3738721,"[33.0423409, -96.3738721]",east,https://directory.tml.org/profile/city/1730
Rosebud,Falls,1318,46173,31.0729608,-96.9785993,"[31.0729608, -96.9785993]",east,https://directory.tml.org/profile/city/825
Old River-Winfree,Chambers,1312,89767,29.8682764,-94.8327007,"[29.8682764, -94.8327007]",east,https://directory.tml.org/profile/city/945
Natalia,Medina,1307,62907,29.189684,-98.8625269,"[29.189684, -98.8625269]",east,https://directory.tml.org/profile/city/919
Valley Mills,Bosque,1282,56041,31.6593282,-97.472238,"[31.6593282, -97.472238]",east,https://directory.tml.org/profile/city/521
China,Jefferson,1273,55575,30.047992,-94.3357433,"[30.047992, -94.3357433]",east,https://directory.tml.org/profile/city/1178
Brownsboro,Henderson,1270,50348,32.3023706,-95.6135715,"[32.3023706, -95.6135715]",east,https://directory.tml.org/profile/city/45
Clear Lake Shores,Galveston,1266,77627,29.547452,-95.0321506,"[29.547452, -95.0321506]",east,https://directory.tml.org/profile/city/1185
Kemp,Kaufman,1262,73660,32.4426403,-96.2299771,"[32.4426403, -96.2299771]",east,https://directory.tml.org/profile/city/1005
Gholson,McLennan,1239,58524,31.7009962,-97.2163956,"[31.7009962, -97.2163956]",east,https://directory.tml.org/profile/city/120
